제조사,모델명,배터리용량,최대거리,충전시간(급속),충전시간(완속),최대속도,승차인원,충전방식(급속),충전방식(완속)
현대,17년도 아이오닉,28.0,191.0,약 23분,약 5시간,165.0,준중형 5인승,,B타입5핀(완속)
현대,피스,28.0,191.0,약 23분,약 5시간,165.0,준중형 5인승,DC차데모(급속),B타입5핀(완속)
현대,쏘나타 PHEV,,,,,,,,B타입5핀(완속)
현대,코나EV,,,,,,,,B타입5핀(완속)
현대,18년도 아이오닉 PHEV,64.0,406.0,약 1시간,약 9시간,167.0,5인승,DC차데모(급속),B타입5핀(완속)
기아,레이,,,,,,,,B타입5핀(완속)
기아,쏘울,16.4,91.0,약 25분,약 6시간,130.0,경승용 4인승,,B타입5핀(완속)
기아,니로_EV,27.0,145.0,약 33분,약 7시간,145.0,준중형 5인승,,B타입5핀(완속)
르노삼성,SM3,64.0,385.0,약 1시간,약 9시간,160.0,5인승,DC차데모(급속),B타입5핀(완속)
르노삼성,조에,26.6,135.0,약 30분,약 3~4시간,135.0,중형 4인승,,C타입5핀(완속)
한국GM,스파크,,309.0,약 30분,약 9시간 30분,,5인승,DC차데모(급속),
한국GM,볼트_EV,,,,,,,,B타입5핀(완속)
한국GM,볼트_PHEV,60.0,383.0,약 1시간,약 9시간,154.0,5인승,DC차데모(급속),B타입5핀(완속)
BMW,i3,,,,,,,,B타입5핀(완속)
BMW,BMW 7 PHEV,21.3,132.0,약 30분,약 3~4시간,150.0,준중형 5인승,DC차데모(급속),B타입5핀(완속)
BMW,BMW 530e PHEV,,,,,,,,B타입5핀(완속)
BMW,BMW X3 xDRIVE30e,10.8,39.0,,,140.0,,,
닛산,LEAF,,,,,,,,
테슬라,테슬라 모델 S,24.4,132.0,약 30분,약 5시간,140.0,준중형 5인승,,B타입5핀(완속)
벤츠,GLC 350e PHEV,90.0,378.0,약 30분,약 3시간,250.0,5인승,,C타입5핀(완속)
벤츠,벤츠 EQC400,,,,,,,,B타입5핀(완속)
벤츠,벤츠 s560e,80.0,309.0,약 40분,약 11시간,180.0,,,
벤틀리,벤테이가 PHEV,13.5,,,,250.0,,,
조이롱코리아,E6,17.3,,,,254.0,,,
VOLVO,VOLVO S90 T8,60.0,160.9,,,110.0,,,
FORD,포드 익스플로러(PHEV),,,,,230.0,,,
